"infinitive","stem","tense","person","pronoun","final_form"
"ịbata","bata","present","3p","ha","ha bata"
"ịbata","bata","present","3s","ọ","ọ bata"
"ịbịa","bịa","future","1p","anyị","anyị ga bịa"
"ịbịa","bịa","future","1s","m","m ga bịa"
"ịbịa","bịa","future","2p","unu","unu ga bịa"
"ịbịa","bịa","future","2s","ị","ị ga bịa"
"ịbịa","bịa","future","3p","ha","ha ga bịa"
"ịbịa","bịa","future","3s","ọ","ọ ga bịa"
"ịbịa","bịa","past","1p","anyị","bịara"
"ịbịa","bịa","past","1s","m","bịara"
"ịbịa","bịa","past","2p","unu","bịara"
"ịbịa","bịa","past","2s","ị","bịara"
"ịbịa","bịa","past","3p","ha","bịara"
"ịbịa","bịa","past","3s","ọ","bịara"
"ịbịa","bịa","past_perf","1p","anyị","bịabugo"
"ịbịa","bịa","past_perf","1s","m","bịabugo"
"ịbịa","bịa","past_perf","2p","unu","bịabugo"
"ịbịa","bịa","past_perf","2s","ị","bịabugo"
"ịbịa","bịa","past_perf","3p","ha","bịabugo"
"ịbịa","bịa","past_perf","3s","ọ","bịabugo"
"ịbịa","bịa","pres_cont","1p","anyị","anyị na bịa"
"ịbịa","bịa","pres_cont","1s","m","m na bịa"
"ịbịa","bịa","pres_cont","2p","unu","unu na bịa"
"ịbịa","bịa","pres_cont","2s","ị","ị na bịa"
"ịbịa","bịa","pres_cont","3p","ha","ha na bịa"
"ịbịa","bịa","pres_cont","3s","ọ","ọ na bịa"
"ịbịa","bịa","pres_perf","1p","anyị","bịago"
"ịbịa","bịa","pres_perf","1s","m","bịago"
"ịbịa","bịa","pres_perf","2p","unu","bịago"
"ịbịa","bịa","pres_perf","2s","ị","bịago"
"ịbịa","bịa","pres_perf","3p","ha","bịago"
"ịbịa","bịa","pres_perf","3s","ọ","bịago"
"ịbịa","bịa","present","1p","anyị","anyị bịa"
"ịbịa","bịa","present","1s","m","m bịa"
"ịbịa","bịa","present","2p","unu","unu bịa"
"ịbịa","bịa","present","2s","ị","ị bịa"
"ịbịa","bịa","present","3p","ha","ha bịa"
"ịbịa","bịa","present","3s","ọ","ọ bịa"
"ịga","ga","future","1p","anyị","anyị ga ga"
